junction_id	cell_line	gene_name	kd_gene	A549_log2fc_local	A549_delta_cosi	HeLa_log2fc_local	HeLa_delta_cosi	spearman_r_gtex	KD_split_reads	KD_retention_reads	KD_ctrl_split_reads	KD_ctrl_retention_reads	KD_cosi	KD_ctrl_cosi	KD_delta_cosi	KD_tpm_mean	KD_ctrl_tpm_mean	KD_log2fc_expression	postar_peak	eclip_peak
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	HNRNPM	0.929	0.05	0.556	0.28	0.879	41	38	50	89	0.683	0.529	0.154	0.63	1.293	-1.037	inside_the_intron	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	KHDRBS1	0.929	0.05	0.556	0.28	0.857	34	65	22	61	0.511	0.419	0.092	1.291	1.397	-0.113	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	KHSRP	0.929	0.05	0.556	0.28	0.88	28	167	0	188	0.251	0	0.251	1.201	1.44	-0.261	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	LARP4	0.929	0.05	0.556	0.28	0.749	73	124	0	96	0.541	0	0.541	0.679	0.803	-0.242	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	NFX1	0.929	0.05	0.556	0.28	0.876	27	59	12	70	0.478	0.255	0.223	1.737	2.214	-0.35	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	NUFIP2	0.929	0.05	0.556	0.28	0.828	61	92	37	89	0.57	0.454	0.116	0.993	1.236	-0.316	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	PARN	0.929	0.05	0.556	0.28	0.845	18	0	23	59	1	0.438	0.562	1.044	1.244	-0.252	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	PHF6	0.929	0.05	0.556	0.28	0.799	33	94	24	90	0.412	0.348	0.065	0.864	1.112	-0.365	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	PNPT1	0.929	0.05	0.556	0.28	0.802	78	225	70	253	0.409	0.356	0.053	1.506	1.81	-0.266	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	PPIL4	0.929	0.05	0.556	0.28	0.843	51	62	52	84	0.622	0.553	0.069	0.596	1.038	-0.799	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	PUM2	0.929	0.05	0.556	0.28	0.821	88	220	82	274	0.444	0.374	0.07	1.332	1.583	-0.249	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	RCC2	0.929	0.05	0.556	0.28	0.734	32	85	24	90	0.43	0.348	0.082	0.907	1.112	-0.293	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	RTF1	0.929	0.05	0.556	0.28	0.795	39	134	23	118	0.368	0.28	0.087	1.502	1.676	-0.158	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	SRFBP1	0.929	0.05	0.556	0.28	0.789	24	0	36	146	1	0.33	0.67	1.139	1.292	-0.182	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	SRSF4	0.929	0.05	0.556	0.28	0.878	20	77	12	70	0.342	0.255	0.087	1.724	2.214	-0.361	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	UPF1	0.929	0.05	0.556	0.28	0.854	67	110	43	112	0.549	0.434	0.115	1.3	1.41	-0.117	inside_the_intron	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	XRCC5	0.929	0.05	0.556	0.28	0.806	35	100	23	118	0.412	0.28	0.131	1.427	1.676	-0.232	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	XRCC6	0.929	0.05	0.556	0.28	0.784	36	124	23	118	0.367	0.28	0.087	1.425	1.676	-0.234	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	ZRANB2	0.929	0.05	0.556	0.28	0.926	34	109	23	118	0.384	0.28	0.104	1.326	1.676	-0.338	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	EEF2	0.929	0.05	0.556	0.28	0.712	56	138	27	87	0.448	0.383	0.065	1.568	1.912	-0.286	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	AKAP8L	1.083	0.24	0.884	0.12	0.852	119	204	119	267	0.538	0.471	0.067	1.15	1.934	-0.75	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	CEBPZ	1.083	0.24	0.884	0.12	0.815	20	25	0	40	0.615	0	0.615	0.486	0.669	-0.46	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	CPSF7	1.083	0.24	0.884	0.12	0.876	63	103	0	85	0.55	0	0.55	0.89	1.082	-0.281	inside_the_intron	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	DDX5	1.083	0.24	0.884	0.12	0.772	11	41	9	47	0.349	0.277	0.072	0.422	0.626	-0.567	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	DDX6	1.083	0.24	0.884	0.12	0.826	69	165	50	172	0.455	0.368	0.088	0.943	1.366	-0.536	inside_the_intron	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	ESF1	1.083	0.24	0.884	0.12	0.748	78	135	0	123	0.536	0	0.536	1.059	1.293	-0.287	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	FIP1L1	1.083	0.24	0.884	0.12	0.837	101	157	0	123	0.563	0	0.563	0.663	1.293	-0.963	<=50nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	HNRNPF	1.083	0.24	0.884	0.12	0.726	66	96	63	115	0.579	0.523	0.056	1.096	1.208	-0.139	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	HNRNPL	1.083	0.24	0.884	0.12	0.886	100	118	118	226	0.629	0.511	0.118	1.094	1.442	-0.398	inside_the_intron	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	HNRNPM	1.083	0.24	0.884	0.12	0.879	51	55	0	123	0.65	0	0.65	0.63	1.293	-1.037	inside_the_intron	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	NAA15	1.083	0.24	0.884	0.12	0.798	62	138	0	237	0.473	0	0.473	0.953	1.571	-0.721	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	PA2G4	1.083	0.24	0.884	0.12	0.748	42	0	60	104	1	0.536	0.464	0.691	1.912	-1.469	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	PARN	1.083	0.24	0.884	0.12	0.845	40	0	50	107	1	0.483	0.517	1.044	1.244	-0.252	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	SLBP	1.083	0.24	0.884	0.12	0.741	55	103	55	131	0.516	0.456	0.06	0.93	1.169	-0.331	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	SMNDC1	1.083	0.24	0.884	0.12	0.811	77	143	71	169	0.519	0.457	0.062	1.354	1.676	-0.308	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	SUPT6H	1.083	0.24	0.884	0.12	0.846	75	116	0	112	0.564	0	0.564	0.693	0.873	-0.334	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	UTP18	1.083	0.24	0.884	0.12	0.839	89	147	125	255	0.548	0.495	0.053	1.165	1.661	-0.512	>=500nt	>=500nt
chr10_49973142_49987165_+	both	TIMM23B-AGAP6	XRCC6	1.083	0.24	0.884	0.12	0.784	94	127	71	169	0.597	0.457	0.14	1.425	1.676	-0.234	>=500nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	ASCC1	0.424	0.25	0.751	0.37	0.752	87	0	96	107	1	0.642	0.358	0.694	0.896	-0.37	>=500nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	DAZAP1	0.424	0.25	0.751	0.37	0.833	96	0	130	96	1	0.73	0.27	0.361	0.476	-0.398	>=500nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	DDX55	0.424	0.25	0.751	0.37	0.811	69	0	78	49	1	0.761	0.239	0.33	0.626	-0.922	<=50nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	EIF4B	0.424	0.25	0.751	0.37	0.739	76	0	96	107	1	0.642	0.358	0.788	0.896	-0.186	>=500nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	FUBP1	0.424	0.25	0.751	0.37	0.815	115	0	76	186	1	0.45	0.55	0.543	0.595	-0.131	>=500nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	GLRX3	0.424	0.25	0.751	0.37	0.792	35	0	53	16	1	0.869	0.131	0.314	0.391	-0.317	>=500nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	HNRNPD	0.424	0.25	0.751	0.37	0.831	64	36	36	41	0.78	0.637	0.143	0.394	0.533	-0.436	>=500nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	HNRNPF	0.424	0.25	0.751	0.37	0.723	77	18	74	28	0.895	0.841	0.054	0.341	0.614	-0.849	>=500nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	HNRNPU	0.424	0.25	0.751	0.37	0.813	88	0	82	109	1	0.601	0.399	0.346	0.451	-0.38	>=500nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	MAK16	0.424	0.25	0.751	0.37	0.778	121	42	93	46	0.852	0.802	0.05	0.556	0.639	-0.202	>=500nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	RPS3	0.424	0.25	0.751	0.37	0.756	40	0	28	36	1	0.609	0.391	0.987	1.179	-0.257	>=500nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	SAFB2	0.424	0.25	0.751	0.37	0.835	74	0	81	38	1	0.81	0.19	0.224	0.317	-0.497	>=500nt	>=500nt
chr12_55752840_55757383_-	both	SARNP	TIAL1	0.424	0.25	0.751	0.37	0.819	82	0	74	28	1	0.841	0.159	0.345	0.614	-0.829	inside_the_intron	>=500nt
chr12_55752840_55757383_-	both	SARNP	EIF2S1	0.424	0.25	0.751	0.37	0.708	137	81	96	107	0.772	0.642	0.13	0.519	0.896	-0.787	>=500nt	>=500nt
chr12_8777802_8780578_+	both	RIMKLB	DROSHA	0.951	0.13	3.446	0.19	0.747	27	147	17	161	0.269	0.174	0.094	12.751	16.444	-0.367	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	ABT1	0.811	0.14	0.751	0.11	0.823	86	59	49	64	0.745	0.605	0.14	30.446	37.9	-0.316	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	DDX5	0.811	0.14	0.751	0.11	0.714	17	0	22	13	1	0.772	0.228	20.202	24.381	-0.271	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	DDX59	0.811	0.14	0.751	0.11	0.825	5	0	5	10	1	0.5	0.5	22.717	25.595	-0.172	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	DDX6	0.811	0.14	0.751	0.11	0.926	48	0	60	42	1	0.741	0.259	19.096	24.174	-0.34	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	EIF4G2	0.811	0.14	0.751	0.11	0.778	65	49	106	127	0.726	0.625	0.101	26.756	31.131	-0.218	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	EWSR1	0.811	0.14	0.751	0.11	0.927	53	0	46	54	1	0.63	0.37	26.148	29.272	-0.163	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	FUBP1	0.811	0.14	0.751	0.11	0.886	121	97	49	64	0.714	0.605	0.109	19.464	37.9	-0.961	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	GLRX3	0.811	0.14	0.751	0.11	0.848	34	0	14	16	1	0.636	0.364	21.184	24.481	-0.209	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	HDGF	0.811	0.14	0.751	0.11	0.742	31	0	46	55	1	0.626	0.374	21.021	30.079	-0.517	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	HNRNPK	0.811	0.14	0.751	0.11	0.878	87	51	63	57	0.773	0.689	0.085	20.355	24.761	-0.283	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	HNRNPLL	0.811	0.14	0.751	0.11	0.862	6	0	5	10	1	0.5	0.5	19.039	25.595	-0.427	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	HNRNPM	0.811	0.14	0.751	0.11	0.932	33	0	33	16	1	0.805	0.195	17.986	21.516	-0.259	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	KHSRP	0.811	0.14	0.751	0.11	0.943	69	0	63	57	1	0.689	0.311	16.983	24.761	-0.544	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	NOL12	0.811	0.14	0.751	0.11	0.744	86	64	106	127	0.729	0.625	0.103	27.953	31.131	-0.155	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	PNPT1	0.811	0.14	0.751	0.11	0.896	96	76	68	83	0.716	0.621	0.095	20.887	23.672	-0.181	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	PUF60	0.811	0.14	0.751	0.11	0.868	135	86	106	127	0.758	0.625	0.133	25.791	31.131	-0.271	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	RBM15	0.811	0.14	0.751	0.11	0.808	61	0	52	35	1	0.748	0.252	24.067	27.088	-0.171	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	SF3A3	0.811	0.14	0.751	0.11	0.927	78	0	31	35	1	0.639	0.361	21.896	23.57	-0.106	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	SNRNP70	0.811	0.14	0.751	0.11	0.766	15	9	5	10	0.769	0.5	0.269	18.923	25.595	-0.436	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	STAU1	0.811	0.14	0.751	0.11	0.794	30	0	33	16	1	0.805	0.195	19.477	21.516	-0.144	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	UBE2L3	0.811	0.14	0.751	0.11	0.785	85	0	106	127	1	0.625	0.375	26.538	31.131	-0.23	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	XPO1	0.811	0.14	0.751	0.11	0.954	102	58	49	64	0.779	0.605	0.174	33.103	37.9	-0.195	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	XRN1	0.811	0.14	0.751	0.11	0.865	264	133	49	64	0.799	0.605	0.194	34.392	37.9	-0.14	>=500nt	>=500nt
chr13_19674984_19677724_-	both	PSPC1	ZNF622	0.811	0.14	0.751	0.11	0.782	16	0	17	19	1	0.642	0.358	16.113	22.659	-0.492	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	ABT1	0.34	0.07	0.771	0.13	0.823	61	34	47	44	0.782	0.681	0.101	30.446	37.9	-0.316	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	BCLAF1	0.34	0.07	0.771	0.13	0.927	43	0	38	33	1	0.697	0.303	23.799	32.43	-0.446	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	CCDC124	0.34	0.07	0.771	0.13	0.721	23	18	16	16	0.719	0.667	0.052	25.897	29.053	-0.166	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	CEBPZ	0.34	0.07	0.771	0.13	0.869	21	0	28	8	1	0.875	0.125	20.838	22.928	-0.138	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	DDX27	0.34	0.07	0.771	0.13	0.955	44	24	38	33	0.786	0.697	0.088	26.376	32.43	-0.298	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	DDX5	0.34	0.07	0.771	0.13	0.714	24	0	29	15	1	0.795	0.205	20.202	24.381	-0.271	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	DDX59	0.34	0.07	0.771	0.13	0.825	20	0	16	11	1	0.744	0.256	22.717	25.595	-0.172	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	DDX6	0.34	0.07	0.771	0.13	0.926	43	0	66	29	1	0.82	0.18	19.096	24.174	-0.34	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	EIF2S1	0.34	0.07	0.771	0.13	0.762	60	17	66	29	0.876	0.82	0.056	21.684	24.174	-0.157	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	EIF4G2	0.34	0.07	0.771	0.13	0.778	91	38	119	76	0.827	0.758	0.069	26.756	31.131	-0.218	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	FUBP1	0.34	0.07	0.771	0.13	0.886	73	46	47	44	0.76	0.681	0.079	19.464	37.9	-0.961	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	HNRNPK	0.34	0.07	0.771	0.13	0.878	61	23	71	40	0.841	0.78	0.061	20.355	24.761	-0.283	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	HNRNPLL	0.34	0.07	0.771	0.13	0.862	16	0	16	11	1	0.744	0.256	19.039	25.595	-0.427	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	KHSRP	0.34	0.07	0.771	0.13	0.943	79	0	71	40	1	0.78	0.22	16.983	24.761	-0.544	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	RBM15	0.34	0.07	0.771	0.13	0.808	70	0	55	29	1	0.791	0.209	24.067	27.088	-0.171	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	STAU1	0.34	0.07	0.771	0.13	0.794	36	0	49	18	1	0.845	0.155	19.477	21.516	-0.144	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	TARDBP	0.34	0.07	0.771	0.13	0.92	36	0	36	33	1	0.686	0.314	23.052	28.917	-0.327	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	UBE2L3	0.34	0.07	0.771	0.13	0.785	58	0	119	76	1	0.758	0.242	26.538	31.131	-0.23	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	WRN	0.34	0.07	0.771	0.13	0.875	56	0	71	35	1	0.802	0.198	32.641	37.143	-0.186	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	XPO1	0.34	0.07	0.771	0.13	0.954	75	0	47	44	1	0.681	0.319	33.103	37.9	-0.195	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	XRN1	0.34	0.07	0.771	0.13	0.865	297	75	47	44	0.888	0.681	0.207	34.392	37.9	-0.14	>=500nt	>=500nt
chr13_19675653_19677724_-	both	PSPC1	ZNF622	0.34	0.07	0.771	0.13	0.782	32	13	35	20	0.831	0.778	0.053	16.113	22.659	-0.492	>=500nt	>=500nt
chr15_51931133_51934250_+	both	TMOD3	MBNL1	1.327	0.5	0.795	0.26	0.762	3	0	5	15	1	0.4	0.6	30.287	33.079	-0.127	>=500nt	>=500nt
chr15_51931133_51934250_+	both	TMOD3	RPS3	1.327	0.5	0.795	0.26	0.889	6	14	2	7	0.462	0.364	0.098	32.439	36.542	-0.172	>=500nt	>=500nt
chr16_8849993_8850933_+	both	PMM2	MAK16	1.152	0.31	0.392	0.09	0.726	7	72	3	68	0.163	0.081	0.082	4.838	7.205	-0.575	>=500nt	>=500nt
chr17_34962868_34963024_+	both	ZNF830	FUS	0.652	0.11	0.767	0.17	0.93	14	92	9	153	0.233	0.105	0.128	21.86	28.61	-0.388	>=500nt	>=500nt
chr17_34962868_34963024_+	both	ZNF830	GLRX3	0.652	0.11	0.767	0.17	0.846	12	72	7	103	0.25	0.12	0.13	28.688	31.225	-0.122	>=500nt	>=500nt
chr17_34962868_34963024_+	both	ZNF830	HNRNPUL1	0.652	0.11	0.767	0.17	0.868	19	203	17	301	0.158	0.101	0.056	21.277	40.594	-0.932	>=500nt	>=500nt
chr17_34962868_34963024_+	both	ZNF830	RBM17	0.652	0.11	0.767	0.17	0.916	31	333	16	270	0.157	0.106	0.051	32.17	35.347	-0.136	>=500nt	>=500nt
chr17_34962868_34963024_+	both	ZNF830	RPS3	0.652	0.11	0.767	0.17	0.811	10	38	7	91	0.345	0.133	0.211	28.861	36.021	-0.32	>=500nt	>=500nt
chr17_34962868_34963024_+	both	ZNF830	RTF1	0.652	0.11	0.767	0.17	0.842	17	155	7	133	0.18	0.095	0.085	25.041	27.11	-0.115	>=500nt	>=500nt
chr17_34962868_34963024_+	both	ZNF830	SLTM	0.652	0.11	0.767	0.17	0.892	15	125	9	153	0.194	0.105	0.088	21.705	28.61	-0.398	>=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	BOP1	0.508	0.48	0.819	0.63	0.757	380	1142	216	1016	0.4	0.298	0.101	58.613	66.814	-0.189	>=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	CEBPZ	0.508	0.48	0.819	0.63	0.797	209	478	136	411	0.467	0.398	0.068	92.153	102.775	-0.157	>=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	DDX5	0.508	0.48	0.819	0.63	0.799	213	614	158	628	0.41	0.335	0.075	75.579	102.101	-0.434	>=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	DDX59	0.508	0.48	0.819	0.63	0.881	159	275	122	406	0.536	0.375	0.161	37.054	55.708	-0.588	>=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	DHX30	0.508	0.48	0.819	0.63	0.822	335	868	231	755	0.436	0.38	0.056	117.654	158.101	-0.426	>=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	ETF1	0.508	0.48	0.819	0.63	0.726	575	1262	386	1160	0.477	0.4	0.077	177.323	206.061	-0.217	>=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	FIP1L1	0.508	0.48	0.819	0.63	0.857	406	1281	312	1305	0.388	0.323	0.064	97.774	125.439	-0.359	inside_the_intron	>=500nt
chr17_76735158_76735772_-	both	SRSF2	HDGF	0.508	0.48	0.819	0.63	0.835	365	1056	518	2047	0.409	0.336	0.073	120.67	247.365	-1.036	>=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	HNRNPD	0.508	0.48	0.819	0.63	0.952	343	753	335	908	0.477	0.425	0.052	193.071	214.859	-0.154	<=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	HNRNPUL1	0.508	0.48	0.819	0.63	0.835	510	1410	342	1244	0.42	0.355	0.065	91.225	116.719	-0.356	>=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	MARK2	0.508	0.48	0.819	0.63	0.722	325	846	513	1829	0.434	0.359	0.075	138.535	244.485	-0.819	>=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	METAP2	0.508	0.48	0.819	0.63	0.785	303	946	221	915	0.39	0.326	0.065	96.184	106.824	-0.151	>=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	SNRNP70	0.508	0.48	0.819	0.63	0.769	122	299	122	406	0.449	0.375	0.074	36.928	55.708	-0.593	>=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	SRSF3	0.508	0.48	0.819	0.63	0.898	144	386	122	406	0.427	0.375	0.052	46.969	55.708	-0.246	<=500nt	>=500nt
chr17_76735158_76735772_-	both	SRSF2	TUFM	0.508	0.48	0.819	0.63	0.76	439	1464	847	3864	0.375	0.305	0.07	194.626	232.54	-0.257	>=500nt	>=500nt
chr20_63695854_63696760_+	both	RTEL1-TNFRSF6B	EWSR1	0.757	0.19	0.319	0.21	0.852	11	0	17	240	1	0.124	0.876	3.635	4.203	-0.209	>=500nt	>=500nt
chr4_82424883_82425563_-	both	HNRNPDL	CPSF6	0.392	0.23	1.022	0.67	0.918	77	663	36	786	0.188	0.084	0.105	71.67	90.097	-0.33	inside_the_intron	>=500nt
chr4_82424883_82425563_-	both	HNRNPDL	DDX51	0.392	0.23	1.022	0.67	0.877	73	352	40	331	0.293	0.195	0.099	164.271	201.954	-0.298	>=500nt	>=500nt
chr4_82424883_82425563_-	both	HNRNPDL	DDX59	0.392	0.23	1.022	0.67	0.853	44	437	12	419	0.168	0.054	0.113	64.536	88.83	-0.461	>=500nt	>=500nt
chr4_82424883_82425563_-	both	HNRNPDL	DDX6	0.392	0.23	1.022	0.67	0.886	224	1114	167	1251	0.287	0.211	0.076	141.06	163.754	-0.215	<=500nt	>=500nt
chr4_82424883_82425563_-	both	HNRNPDL	DROSHA	0.392	0.23	1.022	0.67	0.884	77	745	35	904	0.171	0.072	0.099	168.214	190.5	-0.179	>=500nt	>=500nt
chr4_82424883_82425563_-	both	HNRNPDL	GPKOW	0.392	0.23	1.022	0.67	0.858	42	490	36	786	0.146	0.084	0.062	65.488	90.097	-0.46	inside_the_intron	>=500nt
chr4_82424883_82425563_-	both	HNRNPDL	HNRNPK	0.392	0.23	1.022	0.67	0.862	273	1384	180	1392	0.283	0.205	0.077	141.187	159.406	-0.175	>=500nt	>=500nt
